,gpu,gpu4,numpy
1,0.0003516970000418951,,2.6355999580118805e-05
2,0.0003040879996660806,,1.2407999747665599e-05
4,0.000304261000110273,0.00019078500008617993,1.2364000212983228e-05
8,0.0002861250000023574,0.00021650400003636605,1.2471999980334658e-05
16,0.0002803639999910956,0.0002017520000663353,1.2480999885156052e-05
32,0.00030549800021617557,0.00021338400028980686,1.284200016016257e-05
64,0.00030410400040636887,0.00022369099997376907,1.38810000862577e-05
128,0.00030702799995196983,0.00023904799991214531,1.6217999927903293e-05
256,0.00030014599997230107,0.00025803900007304037,2.0587000108207576e-05
512,0.00030246899996200227,0.0002635490000102436,2.8420000035112025e-05
1024,0.00031700900035502855,0.0002621150001687056,5.623700008072774e-05
2048,0.0003368759998920723,0.0002942139999504434,0.00010517600003367988
4096,0.00045683400003326824,0.0003145279997625039,0.0001316600000791368
8192,0.0003934070000468637,0.00035537599978852086,0.0002482320001035987
16384,0.000420219000261568,0.0004914490000373917,0.0005341510000107519
32768,0.00040913800012276624,0.0004686980000769836,0.0009763709999788261
65536,0.0004471620000003895,0.0004765830003634619,0.0019947509999838076
131072,0.0005985500001770561,0.0004911380001431098,0.004288380000161851
262144,0.0008958860003076552,0.0005739140001423948,0.008606387000327231
524288,0.0013379470001382288,0.000854697000249871,0.017250177999812877
1048576,0.002265894999709417,0.0013044679999438813,0.035149552000348194
2097152,0.004552586999579944,0.002547877999859338,0.06509591900021405
4194304,,0.0025498529998913,0.06492490800019368
8388608,,0.0026078609998876345,0.06349791699994967
16777216,,0.0025883789999170403,0.06546081099986623
33554432,,0.0025621039999350614,0.06434291000005032
